baseline	range	ef	al	build_seconds	space_usage_bytes	space_usage_source	rss_delta_bytes	index_file_bytes	recall	avg_ms	qps	kpqs	valid_queries
hsig_hybrid	100	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	1.384134	722.473166	0.722473	1000
hsig_pre	100	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	1.355816	737.563469	0.737563	1000
hsig_post	100	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	1.340429	746.029730	0.746030	1000
hsig_hybrid	1000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	0.371133	2694.449008	2.694449	1000
hsig_pre	1000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	0.375030	2666.456180	2.666456	1000
hsig_post	1000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	0.377328	2650.217382	2.650217	1000
hsig_hybrid	10000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	0.099572	10042.951901	10.042952	1000
hsig_pre	10000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	0.110772	9027.555838	9.027556	1000
hsig_post	10000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	1.000000	0.071861	13915.715289	13.915715	1000
hsig_hybrid	100000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	0.999500	0.068505	14597.537502	14.597538	1000
hsig_pre	100000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	0.999500	0.041105	24327.864878	24.327865	1000
hsig_post	100000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	0.999500	0.035282	28343.459698	28.343460	1000
hsig_hybrid	1000000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	0.996000	0.049770	20092.319795	20.092320	1000
hsig_pre	1000000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	0.996000	0.043951	22752.744428	22.752744	1000
hsig_post	1000000	160	16	420.334614	1667203000	index_file_bytes	2349928448	1667203000	0.996000	0.032114	31139.077739	31.139078	1000
