baseline	range	ef	al	build_seconds	space_usage_bytes	space_usage_source	rss_delta_bytes	index_file_bytes	recall	avg_ms	qps	kpqs	valid_queries
hsig_hybrid	100	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.998400	3.209584	311.566852	0.311567	1000
hsig_pre	100	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.998400	3.286166	304.305966	0.304306	1000
hsig_post	100	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.998400	3.315803	301.586075	0.301586	1000
hsig_hybrid	1000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.999100	1.294885	772.269614	0.772270	1000
hsig_pre	1000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.999100	1.298454	770.146539	0.770147	1000
hsig_post	1000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.999100	1.312478	761.917634	0.761918	1000
hsig_hybrid	10000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.997900	0.452552	2209.693115	2.209693	1000
hsig_pre	10000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.997900	0.452023	2212.277905	2.212278	1000
hsig_post	10000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.997900	0.466272	2144.670940	2.144671	1000
hsig_hybrid	100000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.992000	0.151795	6587.850285	6.587850	1000
hsig_pre	100000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.992000	0.154078	6490.227748	6.490228	1000
hsig_post	100000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.992000	0.126035	7934.296094	7.934296	1000
hsig_hybrid	1000000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.962500	0.094994	10526.962147	10.526962	1000
hsig_pre	1000000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.962500	0.092805	10775.234829	10.775235	1000
hsig_post	1000000	160	16	1455.741815	4227197310	index_file_bytes	4911849472	4227197310	0.962500	0.069970	14291.936173	14.291936	1000
