baseline	range	ef	al	build_seconds	space_usage_bytes	space_usage_source	rss_delta_bytes	index_file_bytes	recall	avg_ms	qps	kpqs	valid_queries
hsig_hybrid	100	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	1.319481	757.873838	0.757874	1000
hsig_pre	100	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	1.245843	802.669554	0.802670	1000
hsig_post	100	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	1.231968	811.709112	0.811709	1000
hsig_hybrid	1000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	0.348314	2870.971136	2.870971	1000
hsig_pre	1000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	0.336290	2973.625211	2.973625	1000
hsig_post	1000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	0.336624	2970.676767	2.970677	1000
hsig_hybrid	10000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	0.065984	15155.157896	15.155158	1000
hsig_pre	10000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	0.109703	9115.502633	9.115503	1000
hsig_post	10000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	1.000000	0.060579	16507.331020	16.507331	1000
hsig_hybrid	100000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	0.999300	0.058877	16984.564492	16.984564	1000
hsig_pre	100000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	0.999300	0.038181	26190.932467	26.190932	1000
hsig_post	100000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	0.999300	0.033708	29666.402791	29.666403	1000
hsig_hybrid	1000000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	0.989300	0.047021	21266.969057	21.266969	1000
hsig_pre	1000000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	0.989300	0.034292	29161.243853	29.161244	1000
hsig_post	1000000	160	16	338.710977	1539199586	index_file_bytes	2222272512	1539199586	0.989300	0.037542	26636.580122	26.636580	1000
